trade_no,side,entry_time,exit_time,holding_hours,entry,exit_price,sl,tp,sl_dist,tp_dist,rr_ratio,sl_mult,exit_type,result,risk_usd,pnl_usd,pnl_pct,balance,entry_close,entry_ema13,entry_ema34,entry_ema89,entry_rsi,entry_atr,entry_atr_pct,entry_volume,entry_vol_ma,ema13_ema34_gap_pct,ema34_ema89_gap_pct,close_vs_ema34_pct,vol_vs_ma_pct,entry_ema_stack,entry_rsi_zone,entry_vol_strength,cond_atr_gate_passed,cond_ema13_gt_ema34,cond_close_gt_ema34,cond_ema34_gt_ema89,cond_vol_above_ma,signal_reason,cond_rsi_buy,cond_rsi_sell,month,year
1,BUY,2021-05-06 10:00:00+00:00,2021-05-06 18:00:00+00:00,8.0,58050.5,56450.176,56450.176,59906.8758,1600.324,1856.3758,2.9,2.5,SL,SL,10.0,-10.01,-1.001,989.99,58050.5,57119.5153,56631.3556,56528.2433,66.13,640.1296,0.011027,1319.24,583.76,0.862,0.1824,2.5059,125.99,BULLISH,STRONG,VERY_HIGH,True,True,True,True,True,EMA13>EMA34 | Close>EMA34 | EMA34>EMA89 | RSI=66.1(>62) | Vol=1319>584 | ATR%=0.0110(>0.0015),True,False,2021-05,2021
2,SELL,2021-05-07 04:00:00+00:00,2021-05-07 12:00:00+00:00,8.0,55853.0,57514.7061,57514.7061,53925.4209,1661.7061,1927.5791,2.9,2.5,SL,SL,9.8999,-9.9098,-1.001,980.0802,55853.0,56264.6485,56488.9111,56523.2575,40.51,664.6824,0.011901,793.11,671.67,-0.397,-0.0608,-1.1257,18.08,BEARISH,WEAK,AVERAGE,True,False,False,False,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=40.5(<45) | Vol=793>672 | ATR%=0.0119(>0.0015),False,True,2021-05,2021
3,BUY,2021-05-07 15:00:00+00:00,2021-05-08 08:00:00+00:00,17.0,57507.0,59306.6788,55955.5528,59306.6788,1551.4472,1799.6788,2.9,2.5,TP,TP,9.8008,28.4125,2.899,1008.4927,57507.0,56715.5005,56571.7588,56540.3919,62.35,620.5789,0.010791,613.35,527.37,0.2541,0.0555,1.6532,16.3,BULLISH,STRONG,AVERAGE,True,True,True,True,True,EMA13>EMA34 | Close>EMA34 | EMA34>EMA89 | RSI=62.3(>62) | Vol=613>527 | ATR%=0.0108(>0.0015),True,False,2021-05,2021
4,BUY,2021-05-08 08:00:00+00:00,2021-05-09 12:00:00+00:00,28.0,58899.5,57372.1215,57372.1215,60671.2591,1527.3785,1771.7591,2.9,2.5,SL,SL,10.0849,-10.095,-1.001,998.3977,58899.5,58003.6475,57466.2801,56987.6848,66.8,610.9514,0.010373,1903.19,657.56,0.9351,0.8398,2.494,189.43,BULLISH,STRONG,VERY_HIGH,True,True,True,True,True,EMA13>EMA34 | Close>EMA34 | EMA34>EMA89 | RSI=66.8(>62) | Vol=1903>658 | ATR%=0.0104(>0.0015),True,False,2021-05,2021
5,BUY,2021-05-10 03:00:00+00:00,2021-05-10 09:00:00+00:00,6.0,59390.5,58073.5127,58073.5127,60918.2053,1316.9873,1527.7053,2.9,2.5,SL,SL,9.984,-9.994,-1.001,988.4038,59390.5,58376.536,58160.7225,57777.7652,65.21,526.7949,0.00887,561.4,551.2,0.3711,0.6628,2.1144,1.85,BULLISH,STRONG,AVERAGE,True,True,True,True,True,EMA13>EMA34 | Close>EMA34 | EMA34>EMA89 | RSI=65.2(>62) | Vol=561>551 | ATR%=0.0089(>0.0015),True,False,2021-05,2021
6,SELL,2021-05-10 20:00:00+00:00,2021-05-12 03:00:00+00:00,31.0,55296.0,57468.0661,57468.0661,52776.4034,2172.0661,2519.5966,2.9,2.5,SL,SL,9.884,-9.8939,-1.001,978.5098,55296.0,57170.1096,57737.5056,57740.03,30.17,868.8264,0.015712,7063.58,1138.65,-0.9827,-0.0044,-4.2286,520.35,BEARISH,WEAK,VERY_HIGH,True,False,False,False,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=30.2(<45) | Vol=7064>1139 | ATR%=0.0157(>0.0015),False,True,2021-05,2021
7,SELL,2021-05-12 15:00:00+00:00,2021-05-12 18:00:00+00:00,3.0,55536.0,53795.6416,57036.3089,53795.6416,1500.3089,1740.3584,2.9,2.5,TP,TP,9.7851,28.367,2.899,1006.8768,55536.0,56488.6024,56573.7625,56866.0459,38.57,600.1236,0.010806,1289.81,565.06,-0.1505,-0.514,-1.8344,128.26,BEARISH,WEAK,VERY_HIGH,True,False,False,False,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=38.6(<45) | Vol=1290>565 | ATR%=0.0108(>0.0015),False,True,2021-05,2021
8,SELL,2021-05-12 18:00:00+00:00,2021-05-12 22:00:00+00:00,4.0,54169.0,52131.5904,55925.3876,52131.5904,1756.3876,2037.4096,2.9,2.5,TP,TP,10.0688,29.1894,2.899,1036.0662,54169.0,55816.0208,56270.7497,56725.6256,28.85,702.555,0.01297,1620.97,705.54,-0.8081,-0.8019,-3.7351,129.75,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=28.9(<45) | Vol=1621>706 | ATR%=0.0130(>0.0015),False,True,2021-05,2021
9,SELL,2021-05-12 22:00:00+00:00,2021-05-12 23:00:00+00:00,1.0,52922.0,50423.9027,55075.5322,50423.9027,2153.5322,2498.0973,2.9,2.5,TP,TP,10.3607,30.0356,2.899,1066.1017,52922.0,54989.2286,55811.1396,56500.0008,25.02,861.4129,0.016277,5576.71,976.94,-1.4727,-1.2192,-5.1766,470.83,BEARISH,OVERSOLD,VERY_HIGH,True,False,False,False,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=25.0(<45) | Vol=5577>977 | ATR%=0.0163(>0.0015),False,True,2021-05,2021
10,SELL,2021-05-13 17:00:00+00:00,2021-05-14 15:00:00+00:00,22.0,48467.0,51417.5149,51417.5149,45044.4027,2950.5149,3422.5973,2.9,2.5,SL,SL,10.661,-10.6717,-1.001,1055.4301,48467.0,49972.6399,51836.6044,54234.319,28.16,1180.206,0.024351,4232.74,2713.86,-3.5958,-4.421,-6.5004,55.97,BEARISH,OVERSOLD,HIGH,True,False,False,False,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=28.2(<45) | Vol=4233>2714 | ATR%=0.0244(>0.0015),False,True,2021-05,2021
11,SELL,2021-05-14 20:00:00+00:00,2021-05-15 19:00:00+00:00,23.0,49181.5,47086.02,50987.9483,47086.02,1806.4483,2095.48,2.9,2.5,TP,TP,10.5543,30.5969,2.899,1086.027,49181.5,50279.4974,50486.2523,52315.2306,38.94,722.5793,0.014692,1296.35,695.88,-0.4095,-3.4961,-2.5844,86.29,BEARISH,WEAK,HIGH,True,False,False,False,True,EMA13<EMA34 | Close<EMA34 | EMA34<EMA89 | RSI=38.9(<45) | Vol=1296>696 | ATR%=0.0147(>0.0015),False,True,2021-05,2021
